CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Status,Percent_Predict,Rank_predict
Mario Lopez,3,6,Percent,28.0,23.7%,0.0%-100.0%,28.15,1.0,0.0509933475404977,0.0,0.0,0.0024040341377258,0.0307371374219656,0.1507351547479629,Safe,28.15,1.0
Emmitt Smith,3,6,Percent,25.0,21.2%,0.0%-100.0%,22.99,2.0,0.0509933475404977,0.0,0.0,0.0024040341377258,0.0307371374219656,0.1507351547479629,Safe,22.99,2.0
Jerry Springer,3,6,Percent,18.0,15.3%,0.0%-100.0%,10.1,5.0,0.0509933475404977,0.0,0.0,0.0024040341377258,0.0307371374219656,0.1507351547479629,Safe,10.1,5.0
Monique Coleman,3,7,Percent,27.0,20.0%,0.0%-100.0%,19.23,4.0,0.0727036371827125,0.0,0.0,0.0072754025459289,0.0313481763005256,0.233096644282341,Safe,19.23,4.0
Joey Lawrence,3,7,Percent,28.5,21.1%,0.0%-100.0%,24.06,2.0,0.0727036371827125,0.0,0.0,0.0072754025459289,0.0313481763005256,0.233096644282341,Safe,24.06,2.0
Mario Lopez,3,7,Percent,28.0,20.7%,0.0%-100.0%,22.12,3.0,0.0727036371827125,0.0,0.0,0.0072754025459289,0.0313481763005256,0.233096644282341,Safe,22.12,3.0
Emmitt Smith,3,7,Percent,28.5,21.1%,0.0%-100.0%,25.24,1.0,0.0727036371827125,0.0,0.0,0.0072754025459289,0.0313481763005256,0.233096644282341,Safe,25.24,1.0
Jerry Springer,3,7,Percent,23.0,17.0%,0.0%-23.0%,9.35,5.0,0.0727036371827125,0.0,0.0,0.0072754025459289,0.0313481763005256,0.233096644282341,Eliminated (Place 5),9.35,5.0
Monique Coleman,3,8,Percent,26.5,24.3%,0.0%-25.7%,17.5,3.0,0.0580177754163742,0.0,0.0,0.0012580752372741,0.0199165642261505,0.2240488082170486,Eliminated (Place 4),17.5,3.0
Joey Lawrence,3,8,Percent,27.0,24.8%,0.0%-100.0%,23.0,2.0,0.0580177754163742,0.0,0.0,0.0012580752372741,0.0199165642261505,0.2240488082170486,Safe,23.0,2.0
Mario Lopez,3,8,Percent,28.5,26.1%,0.0%-100.0%,36.5,1.0,0.0580177754163742,0.0,0.0,0.0012580752372741,0.0199165642261505,0.2240488082170486,Safe,36.5,1.0
Emmitt Smith,3,8,Percent,27.0,24.8%,0.0%-100.0%,23.0,2.0,0.0580177754163742,0.0,0.0,0.0012580752372741,0.0199165642261505,0.2240488082170486,Safe,23.0,2.0
Joey Lawrence,3,9,Percent,29.5,33.3%,0.0%-33.3%,33.33,1.0,1.2,0.0,0.0,1.0,0.0,1.0,Eliminated (Place 3),33.33,1.0
Mario Lopez,3,9,Percent,29.5,33.3%,0.0%-100.0%,33.33,1.0,1.2,0.0,0.0,1.0,0.0,1.0,Safe,33.33,1.0
Emmitt Smith,3,9,Percent,29.5,33.3%,0.0%-100.0%,33.33,1.0,1.2,0.0,0.0,1.0,0.0,1.0,Safe,33.33,1.0
Mario Lopez,3,10,Percent,29.666600000000003,50.0%,0.0%-50.0%,50.0,1.0,1.2,0.0,0.0,1.0,0.0,1.0,Eliminated (Place 2),50.0,1.0
Emmitt Smith,3,10,Percent,29.666600000000003,50.0%,50.0%-100.0%,50.0,1.0,1.2,0.0,0.0,1.0,0.0,1.0,Safe,50.0,1.0
John Ratzenberger,4,1,Percent,17.0,8.3%,0.0%-100.0%,7.4,7.0,0.1005903214216232,0.0,0.0,0.000302255153656,0.045529767870903,0.3648510277271271,Safe,7.4,7.0
Ian Ziering,4,1,Percent,21.0,10.2%,0.0%-100.0%,11.15,4.0,0.1005903214216232,0.0,0.0,0.000302255153656,0.045529767870903,0.3648510277271271,Safe,11.15,4.0
Clyde Drexler,4,1,Percent,16.0,7.8%,0.0%-100.0%,6.46,8.0,0.1005903214216232,0.0,0.0,0.000302255153656,0.045529767870903,0.3648510277271271,Safe,6.46,8.0
Laila Ali,4,1,Percent,23.0,11.2%,0.0%-100.0%,13.11,2.0,0.1005903214216232,0.0,0.0,0.000302255153656,0.045529767870903,0.3648510277271271,Safe,13.11,2.0
Apolo Anton Ohno,4,1,Percent,21.0,10.2%,0.0%-100.0%,11.35,3.0,0.1005903214216232,0.0,0.0,0.000302255153656,0.045529767870903,0.3648510277271271,Safe,11.35,3.0
Shandi Finnessey,4,1,Percent,19.0,9.2%,0.0%-100.0%,9.36,5.0,0.1005903214216232,0.0,0.0,0.000302255153656,0.045529767870903,0.3648510277271271,Safe,9.36,5.0
Paulina Porizkova,4,1,Percent,19.0,9.2%,0.0%-100.0%,9.36,5.0,0.1005903214216232,0.0,0.0,0.000302255153656,0.045529767870903,0.3648510277271271,Safe,9.36,5.0
Heather Mills,4,1,Percent,18.0,8.7%,0.0%-100.0%,8.33,6.0,0.1005903214216232,0.0,0.0,0.000302255153656,0.045529767870903,0.3648510277271271,Safe,8.33,6.0
Billy Ray Cyrus,4,1,Percent,13.0,6.3%,0.0%-100.0%,3.84,10.0,0.1005903214216232,0.0,0.0,0.000302255153656,0.045529767870903,0.3648510277271271,Safe,3.84,10.0
Joey Fatone,4,1,Percent,24.0,11.7%,0.0%-100.0%,14.12,1.0,0.1005903214216232,0.0,0.0,0.000302255153656,0.045529767870903,0.3648510277271271,Safe,14.12,1.0
Leeza Gibbons,4,1,Percent,15.0,7.3%,0.0%-100.0%,5.53,9.0,0.1005903214216232,0.0,0.0,0.000302255153656,0.045529767870903,0.3648510277271271,Safe,5.53,9.0
John Ratzenberger,4,2,Percent,21.0,8.6%,0.0%-98.4%,7.58,8.0,0.11807830077596,0.0001211192138725,0.0,0.0048814415931701,0.0360673069953918,0.4093346893787384,Safe,7.58,8.0
Ian Ziering,4,2,Percent,22.0,9.0%,0.0%-98.4%,8.96,5.0,0.11807830077596,0.0001211192138725,0.0,0.0048814415931701,0.0360673069953918,0.4093346893787384,Safe,8.96,5.0
Clyde Drexler,4,2,Percent,18.0,7.3%,1.2%-99.6%,4.8,11.0,0.11807830077596,0.0001211192138725,0.0,0.0048814415931701,0.0360673069953918,0.4093346893787384,Safe,4.8,11.0
Laila Ali,4,2,Percent,27.0,11.0%,0.0%-98.4%,14.33,1.0,0.11807830077596,0.0001211192138725,0.0,0.0048814415931701,0.0360673069953918,0.4093346893787384,Safe,14.33,1.0
